date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:40	568/568	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:ad66ebaf94817d288850ae9d088c22fa%22	https://cis.wakavaping.com/robots.txt		(from )
14:48:40	164234/164234	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:e9b6c552a912b5d506aa94be7c5b9051%22	https://cis.wakavaping.com/	E:/waka/cis.wakavaping.com/index.html	(from )
14:48:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:40%20GMT	http://cis.wakavaping.com/cdn/shop/files/2F59FC0D-D115-45C3-9FC4-2381B1326FE0_32x32.png?v=1705511097	E:/waka/cis.wakavaping.com/cdn/shop/files/2F59FC0D-D115-45C3-9FC4-2381B1326FE0_32x32.0b52a.delayed	(from https://cis.wakavaping.com/)
14:48:42	2007/2007	---M--	200	added ('OK')	image/png	date:Fri,%2003%20May%202024%2022:11:22%20GMT	https://cis.wakavaping.com/cdn/shop/files/2F59FC0D-D115-45C3-9FC4-2381B1326FE0_32x32.png?v=1705511097	E:/waka/cis.wakavaping.com/cdn/shop/files/2F59FC0D-D115-45C3-9FC4-2381B1326FE0_32x32b52a.png	(from https://cis.wakavaping.com/)
14:48:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:42%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-Regular.ttf?v=53237741120872417701705510175	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-Regularcfd4.ttf	(from https://cis.wakavaping.com/)
14:48:42	60876/60876	---M--	200	added ('OK')	font/woff2	date:Fri,%2003%20May%202024%2023:24:00%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-Regular.ttf?v=53237741120872417701705510175	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-Regularcfd4.ttf	(from https://cis.wakavaping.com/)
14:48:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:42%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-SemiBold.ttf?v=178257774754744616541705510176	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-SemiBolde6cf.ttf	(from https://cis.wakavaping.com/)
14:48:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:44%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-Bold.ttf?v=154998788442428873621705510174	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-Boldd6d1.ttf	(from https://cis.wakavaping.com/)
14:48:44	61252/61252	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20May%202024%2000:50:29%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-SemiBold.ttf?v=178257774754744616541705510176	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-SemiBolde6cf.ttf	(from https://cis.wakavaping.com/)
14:48:44	62088/62088	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20May%202024%2021:23:57%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-Bold.ttf?v=154998788442428873621705510174	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/Montserrat-Boldd6d1.ttf	(from https://cis.wakavaping.com/)
14:48:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:45%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-Regular.otf?v=156549714148704538011705510218	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-Regulard7ae.otf	(from https://cis.wakavaping.com/)
14:48:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:46%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-SemiBold.otf?v=129237789445785032621705510219	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-SemiBoldd5ce.otf	(from https://cis.wakavaping.com/)
14:48:46	206212/206212	---MCZ	200	added ('OK')	font/otf	date:Mon,%2020%20May%202024%2015:05:54%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-Regular.otf?v=156549714148704538011705510218	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-Regulard7ae.otf	(from https://cis.wakavaping.com/)
14:48:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:47%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-Bold.otf?v=111097906247256858071705510216	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-Bold4606.otf	(from https://cis.wakavaping.com/)
14:48:48	166408/166408	---MCZ	200	added ('OK')	font/otf	date:Mon,%2013%20May%202024%2022:07:43%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-SemiBold.otf?v=129237789445785032621705510219	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/SofiaPro-SemiBoldd5ce.otf	(from https://cis.wakavaping.com/)
